# package	key	where	reason
#
# Every known survivor of scripts/mutation-baseline.tsv, one row each. The
# score is a scalar and cannot tell a new survivor from an accidental kill
# that leaves the count the same; this file is the second, structural
# reading scripts/mutation.sh compares against.
#
# key is <file>:<mutator>:<hash16>, where file is the path go-mutesting
# reports (.mutator.originalFilePath, relative to the gate root) and hash16
# is the first 16 hex characters of the SHA-256 of the diff's hunk body
# (the -/+/space lines, header and @@ lines dropped, joined and trimmed).
# The line number is deliberately NOT part of the key: a line moves when
# code above it moves and the mutant does not.
#
# The gate turns red two ways: an escaped mutant with no row here (NEW
# SURVIVOR -- something now escapes that this file does not know about),
# or a row here with no matching escaped mutant (STALE ROW -- a test now
# kills what used to survive, and the row is out of date). Both are
# failures for the same reason a stale exclusion fails the predicate table
# in fs: a list that has drifted from the run is worse than no list.
#
# where is file:line mutator at the time the row was written, for a reader
# only -- the gate never compares it, so it may go stale without harm.
# reason is one sentence, why no test can observe the mutant; a row with an
# empty reason is refused (exit 2), because a survivor nobody read is not
# a survivor anybody can vouch for.
#
# Rows for ./ , ./role/ and ./goroutine/ were computed from a report captured
# at ee9b2bb and matched to the classes this file's own baseline row names.
# ./crash/'s rows were captured by running the gate itself at ee9b2bb in a
# scratch worktree with an empty list, and matched to the baseline row and to
# the commit that reads its 97 survivors (d2d69f6~1). A row not named by
# either source was read from the function directly when this file was
# written (C5), and is marked UNREAD in that commit's body rather than here,
# since the gate does not read a fifth column.
#
# observed.go:70's sort.Strings removal escaped one live run and was killed
# by another at the same commit: TestObservedNamesEveryPathTheRecorderServed
# builds exactly two paths, so slices.IsSorted(got) is satisfied about half
# the time by map iteration alone, sort call or not. It is left out of this
# file on purpose -- a row that is itself a coin flip would make the gate's
# own verdict a coin flip, which is worse than the gap it would paper over.
# ./alloc/, ./fs/ and ./sql/
# carry no rows because their baseline floor is 1.00 with zero survivors.
./	sweep.go:expression/comparison:57ed2faa28e07ea8	sweep.go:91 expression/comparison	n > maxOps vs n >= maxOps is > vs >= on the same arbitrary bound no scenario reaches, so the two forms agree on every input any test supplies.
./	sweep.go:numbers/decrementer:aead8c681a969153	sweep.go:18 numbers/decrementer	maxOps=512 is an arbitrary bound with wide headroom -- the baseline records 52 of 512 as the largest sweep seen -- so 511 changes no test outcome.
./	sweep.go:numbers/incrementer:94c73dbe0baf3564	sweep.go:18 numbers/incrementer	maxOps=512 is an arbitrary bound with wide headroom, so 513 changes no test outcome, the same equivalence as the decremented form.
./	sweep.go:statement/remove:ea6aae762008862c	sweep.go:56 statement/remove	t.Helper() only changes which line a failure is attributed to, never a test's pass or fail outcome.
./role/	role/points.go:branch/if:2eef5e9e5542a089	role/points.go:46 branch/if	TestAnEmptyRoleBecomesUnknown compares only pass counts between an empty role and role.Unknown, and the pass count does not depend on which string keys a non-target role, so removing the conversion changes no assertion.
./role/	role/points.go:expression/remove:78cbd933ccafeb2a	role/points.go:63 expression/remove	newPoints is unexported and every caller passes armed = n from walk, where n starts at 1, so no exported call can construct a Points with armed == 0 for this guard to protect against.
./role/	role/points.go:numbers/decrementer:9b8c021e3c2e922b	role/points.go:63 numbers/decrementer	the same armed == 0 guard: no exported call can construct a Points with armed == 0 or armed == -1, so decrementing the literal changes nothing a test can reach.
./role/	role/points.go:statement/remove:47d4af8908ae5c08	role/points.go:80 statement/remove	p.mu.Lock() in firedKey guards a data race that only -race detects, and go-mutesting does not run with -race.
./role/	role/sweep.go:branch/if:6df0d409a7fc8288	role/sweep.go:32 branch/if	every test that drives an error out of walk calls role.Walk directly rather than Sweep, so Sweep's own err != nil branch is never reached with a non-nil err by any test.
./role/	role/sweep.go:branch/if:1d4be51d13c5f15f	role/sweep.go:108 branch/if	no test's yield callback ever returns false, so the early-return path this branch guards is never taken.
./role/	role/sweep.go:branch/if:bf684570493d7fd8	role/sweep.go:135 branch/if	no test inspects t.Logf output, so the whole block that logs the structural key on a first failure is unobserved by any assertion.
./role/	role/sweep.go:expression/comparison:cc342c052cd35b6b	role/sweep.go:99 expression/comparison	no scenario reaches maxOps operations, so n > maxOps and n >= maxOps agree on every input any test supplies.
./role/	role/sweep.go:expression/remove:0158249aaf756379	role/sweep.go:133 expression/remove	no test inspects t.Logf output, so gating the structural-key log to only the first failing pass is unobserved by any assertion.
./role/	role/sweep.go:loop/break:f1dd7d278c6592e0	role/sweep.go:120 loop/break	every test's stability check either mismatches at the first compared index or matches at every compared index, so continuing past the first match instead of stopping there changes no test's outcome.
./role/	role/sweep.go:numbers/decrementer:9f77f3d578f9938b	role/sweep.go:12 numbers/decrementer	maxOps is an arbitrary bound no scenario approaches, the same equivalence the ./ package's own maxOps carries at the identical pattern.
./role/	role/sweep.go:numbers/incrementer:d243cda13ac391da	role/sweep.go:12 numbers/incrementer	maxOps is an arbitrary bound no scenario approaches, so incrementing the literal changes no test outcome either.
./role/	role/sweep.go:statement/remove:3ca0f4594d093bee	role/sweep.go:30 statement/remove	t.Helper() in Sweep only changes which line a failure is attributed to, never a test's pass or fail outcome.
./role/	role/sweep.go:statement/remove:5c95ff61be4b5e85	role/sweep.go:95 statement/remove	t.Helper() in walk only changes which line a failure is attributed to, never a test's pass or fail outcome.
